Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","084","Belize","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","183.182","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","204","Bénin","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","12643.123","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","204","Bénin","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","6330.776","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","204","Bénin","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","6312.347","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","204","Bénin","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","6253.682","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","204","Bénin","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","5869.303","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","060","Bermudes","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","64.031","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","060","Bermudes","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","30.939","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","060","Bermudes","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","33.092","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","060","Bermudes","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","060","Bermudes","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","60.639","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","064","Bhoutan","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","772.506","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","064","Bhoutan","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","409.408","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","064","Bhoutan","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","363.099","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","064","Bhoutan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","481.8","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","064","Bhoutan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","353.445","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","11936.162","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","068","Bolivie (État plurinational de)","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","5992.275","X","Ciffre de sources internationales",""
